x,y,z
3.611304855346679688e+01,2.357879638671875000e+00,1.370338439941406250e+00
3.626147460937500000e+01,2.367729663848876953e+00,1.370338439941406250e+00
3.640989685058593750e+01,2.377579212188720703e+00,1.370338439941406250e+00
3.655832672119140625e+01,2.387428998947143555e+00,1.370338439941406250e+00
3.670674896240234375e+01,2.397278547286987305e+00,1.370338439941406250e+00
3.685517501831054688e+01,2.407128334045410156e+00,1.370338439941406250e+00
3.700359725952148438e+01,2.416977882385253906e+00,1.370338439941406250e+00
3.715202331542968750e+01,2.426827669143676758e+00,1.370338439941406250e+00
3.730044555664062500e+01,2.436677455902099609e+00,1.370338559150695801e+00
3.744887542724609375e+01,2.446527242660522461e+00,1.370338439941406250e+00
3.759729766845703125e+01,2.456376791000366211e+00,1.370338439941406250e+00
3.774572372436523438e+01,2.466226577758789062e+00,1.370338439941406250e+00
3.789414978027343750e+01,2.476076364517211914e+00,1.370338439941406250e+00
3.804257583618164062e+01,2.485925912857055664e+00,1.370338439941406250e+00
3.819099807739257812e+01,2.495775699615478516e+00,1.370338439941406250e+00
3.833942413330078125e+01,2.505625247955322266e+00,1.370338439941406250e+00
3.848785018920898438e+01,2.515475273132324219e+00,1.370338439941406250e+00
3.863627624511718750e+01,2.525324821472167969e+00,1.370338439941406250e+00
3.878469848632812500e+01,2.535174369812011719e+00,1.370338559150695801e+00
3.893312454223632812e+01,2.545024156570434570e+00,1.370338439941406250e+00
3.908155059814453125e+01,2.554873943328857422e+00,1.370338439941406250e+00
3.922997283935546875e+01,2.564723491668701172e+00,1.370338439941406250e+00
3.937839889526367188e+01,2.574573278427124023e+00,1.370338439941406250e+00
3.952682495117187500e+01,2.584423065185546875e+00,1.370338439941406250e+00
3.967525100708007812e+01,2.594272613525390625e+00,1.370338439941406250e+00
3.982367706298828125e+01,2.604122400283813477e+00,1.370338439941406250e+00
3.997209930419921875e+01,2.613972187042236328e+00,1.370338439941406250e+00
4.012052536010742188e+01,2.623821735382080078e+00,1.370338559150695801e+00
4.026895141601562500e+01,2.633671760559082031e+00,1.370338439941406250e+00
4.041737365722656250e+01,2.643521308898925781e+00,1.370338439941406250e+00
4.056579971313476562e+01,2.653370857238769531e+00,1.370338439941406250e+00
4.071422576904296875e+01,2.663220405578613281e+00,1.370338439941406250e+00
4.086265182495117188e+01,2.673070430755615234e+00,1.370338439941406250e+00
4.101107788085937500e+01,2.682919979095458984e+00,1.370338439941406250e+00
4.115950012207031250e+01,2.692769527435302734e+00,1.370338439941406250e+00
4.130792999267578125e+01,2.702619552612304688e+00,1.370338439941406250e+00
4.145635223388671875e+01,2.712469100952148438e+00,1.370338439941406250e+00
4.160477828979492188e+01,2.722318887710571289e+00,1.370338439941406250e+00
4.175320053100585938e+01,2.732168674468994141e+00,1.370338439941406250e+00
4.190162658691406250e+01,2.742018222808837891e+00,1.370338439941406250e+00
4.205005264282226562e+01,2.751868009567260742e+00,1.370338439941406250e+00
4.219847869873046875e+01,2.761717796325683594e+00,1.370338439941406250e+00
4.234690093994140625e+01,2.771567344665527344e+00,1.370338439941406250e+00
4.249532699584960938e+01,2.781417131423950195e+00,1.370338439941406250e+00
4.264375305175781250e+01,2.791266918182373047e+00,1.370338439941406250e+00
4.279217529296875000e+01,2.801116466522216797e+00,1.370338439941406250e+00
4.294060134887695312e+01,2.810966014862060547e+00,1.370338439941406250e+00
4.308902740478515625e+01,2.820816040039062500e+00,1.370338439941406250e+00
4.323745346069335938e+01,2.830665588378906250e+00,1.370338439941406250e+00
4.338587951660156250e+01,2.840515375137329102e+00,1.370338439941406250e+00
4.353430175781250000e+01,2.850365161895751953e+00,1.370338439941406250e+00
4.368272781372070312e+01,2.860214710235595703e+00,1.370338439941406250e+00
4.383115386962890625e+01,2.870064258575439453e+00,1.370338439941406250e+00
4.397957611083984375e+01,2.879914045333862305e+00,1.370338439941406250e+00
4.412800598144531250e+01,2.889763832092285156e+00,1.370338439941406250e+00
4.427642822265625000e+01,2.899613380432128906e+00,1.370338439941406250e+00
4.442485427856445312e+01,2.909463405609130859e+00,1.370338439941406250e+00
4.457328033447265625e+01,2.919312953948974609e+00,1.370338439941406250e+00
4.472170257568359375e+01,2.929162502288818359e+00,1.370338439941406250e+00
4.487012863159179688e+01,2.939012289047241211e+00,1.370338439941406250e+00
4.501855468750000000e+01,2.948862075805664062e+00,1.370338439941406250e+00
4.516697692871093750e+01,2.958711624145507812e+00,1.370338439941406250e+00
4.531540298461914062e+01,2.968561410903930664e+00,1.370338439941406250e+00
4.546382904052734375e+01,2.978411197662353516e+00,1.370338439941406250e+00
4.561225509643554688e+01,2.988260984420776367e+00,1.370338439941406250e+00
